;Punjab;Haryana;Rajasthan;Delhi;UP;Uttarakhand;HP;J&K;Chandigarh;Chhattisgarh;Gujarat;MP;Maharashtra;Goa;DNH;Andhra Pradesh;Telangana;Karnataka;Kerala;Tamil Nadu;Pondy;Bihar;Jharkhand;Odisha;West Bengal;Sikkim;Arunachal Pradesh;Assam;Manipur;Meghalaya;Mizoram;Nagaland;Tripura
02.01.2019;119.9;130.3;234.1;85.8;313.9;40.7;30;52.5;5;78.7;319.5;253;428.6;12.авг;18.июн;164.6;204.2;206.3;72.7;268.3;06.мар;82.3;24.авг;70.2;108.2;2;02.янв;21.июл;02.июл;06.янв;01.сен;02.фев;03.апр
03.01.2019;121.9;133.5;240.2;85.5;311.8;39.3;30.янв;54.1;04.сен;78.8;316.7;253.6;419.6;13.июл;18.фев;170.1;204.5;212.2;73.6;285.2;06.май;82;25.июн;67.9;110.2;01.сен;02.фев;23.апр;02.апр;06.май;01.авг;02.фев;03.июн
04.01.2019;118.8;128.2;239.8;83.5;320.7;38.1;30.янв;53.2;04.авг;74.8;301.9;239.3;395.8;12.июн;16.июл;165.2;201.2;205.3;73.4;270.3;06.апр;82.9;26.мар;66.3;106.8;01.июл;02.фев;21.июл;02.апр;06.мар;01.июл;02.фев;03.май
05.01.2019;121;127.5;239.1;79.2;299;39.2;30.2;51.5;04.мар;69;313.2;228.2;411.1;13;17.июн;167.4;201.7;212.4;75.4;286.8;06.июн;77;23;65.8;107;2;02.фев;22.май;02.июл;05.июл;01.авг;02.мар;03.май
06.01.2019;121.4;132.6;240.4;76.6;286.8;39.2;31;53.2;04.мар;68.1;320.7;227.4;408.6;12.сен;18.июн;171.2;194.9;217.5;75.4;298.3;07.фев;76.4;22.июн;62.9;106.4;2;02.фев;21.июл;02.июл;06.фев;01.сен;02.мар;03.мар
07.01.2019;118;132.1;241.9;71.1;294.2;40.1;30.янв;53.3;4;73.1;319.4;230.3;408.1;12.июл;18.мар;166.4;191.9;217.4;74.9;294.2;7;75.3;23.сен;64;109.3;01.май;02.фев;21.апр;02.май;06.янв;01.авг;02.мар;03.мар
08.01.2019;107.5;121.4;237.2;69;289.4;37;29.фев;51.2;03.авг;74.2;307.9;228.8;398.2;10.сен;18.янв;160.8;190.8;201;68.2;279.2;06.май;76.2;23.мар;63.6;102.9;01.июн;02.мар;20.июл;02.июн;06.фев;01.авг;02.янв;03.мар
09.01.2019;132.5;148.2;197;89.2;258.6;35.9;25.мар;37.9;03.сен;77.2;260;162.5;400.9;12.янв;18;163;167.5;173.6;67.9;280.4;07.июн;56.4;19.фев;86.6;131.7;01.янв;02.янв;25.авг;02.мар;6;01.июл;02.апр;04.фев
10.01.2019;131.5;157;199.9;92.8;284.2;35.3;26.май;31.июл;03.сен;79;268.3;159.6;409.7;12.янв;17.авг;168.8;173.4;176;68.9;290.8;07.сен;69.9;21.авг;78.8;140.1;01.янв;02.янв;25.авг;02.апр;06.фев;01.июл;02.янв;04.мар
11.01.2019;130.3;145.3;187.7;79.5;281.4;30.янв;23.сен;37.3;03.апр;80.7;275;154.3;405.2;12.янв;16.сен;167.7;166.7;157;67.4;270.5;07.янв;76.2;23.мар;78.4;149.8;0.8;02.янв;27.сен;02.апр;06.фев;01.авг;02.янв;04.мар
